year,county,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Olmsted,Felony,372,341,1075,NA,NA,NA,NA,NA,NA,NA,NA
2014,Olmsted,Gross Misdemeanor,380,313,677,NA,NA,NA,NA,NA,NA,NA,NA
2014,Olmsted,Misdemeanor,475,364,595,NA,NA,NA,NA,NA,NA,NA,NA
2014,Olmsted,Juvenile,187,214,178,NA,NA,NA,NA,NA,NA,NA,NA
2014,Otter Tail,Felony,153,148,479,NA,NA,NA,NA,NA,NA,NA,NA
2014,Otter Tail,Gross Misdemeanor,178,161,181,NA,NA,NA,NA,NA,NA,NA,NA
2014,Otter Tail,Misdemeanor,139,134,112,NA,NA,NA,NA,NA,NA,NA,NA
2014,Otter Tail,Juvenile,117,109,103,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pennington,Felony,59,37,147,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pennington,Gross Misdemeanor,18,16,43,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pennington,Misdemeanor,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pennington,Juvenile,13,17,26,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pine,Felony,149,149,393,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pine,Gross Misdemeanor,114,142,284,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pine,Misdemeanor,220,194,300,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pine,Juvenile,55,51,75,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pipestone,Felony,22,21,69,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pipestone,Gross Misdemeanor,18,20,47,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pipestone,Misdemeanor,20,18,29,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pipestone,Juvenile,6,13,4,NA,NA,NA,NA,NA,NA,NA,NA
2014,Polk,Felony,183,216,421,NA,NA,NA,NA,NA,NA,NA,NA
2014,Polk,Gross Misdemeanor,102,127,243,NA,NA,NA,NA,NA,NA,NA,NA
2014,Polk,Misdemeanor,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA
2014,Polk,Juvenile,25,47,24,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pope,Felony,22,16,55,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pope,Gross Misdemeanor,25,31,61,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pope,Misdemeanor,54,48,67,NA,NA,NA,NA,NA,NA,NA,NA
2014,Pope,Juvenile,25,23,18,NA,NA,NA,NA,NA,NA,NA,NA
2014,Ramsey,Felony,1656,1630,5152,NA,NA,NA,NA,NA,NA,NA,NA
2014,Ramsey,Gross Misdemeanor,990,1104,2559,NA,NA,NA,NA,NA,NA,NA,NA
2014,Ramsey,Misdemeanor,1661,1912,2916,NA,NA,NA,NA,NA,NA,NA,NA
2014,Ramsey,Juvenile,913,887,810,NA,NA,NA,NA,NA,NA,NA,NA
2014,Red Lake,Felony,16,14,30,NA,NA,NA,NA,NA,NA,NA,NA
2014,Red Lake,Gross Misdemeanor,9,8,16,NA,NA,NA,NA,NA,NA,NA,NA
2014,Red Lake,Misdemeanor,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
2014,Red Lake,Juvenile,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA
2014,Redwood,Felony,45,50,149,NA,NA,NA,NA,NA,NA,NA,NA
2014,Redwood,Gross Misdemeanor,57,55,94,NA,NA,NA,NA,NA,NA,NA,NA
2014,Redwood,Misdemeanor,88,75,88,NA,NA,NA,NA,NA,NA,NA,NA
2014,Redwood,Juvenile,15,22,14,NA,NA,NA,NA,NA,NA,NA,NA
2014,Renville,Felony,37,31,131,NA,NA,NA,NA,NA,NA,NA,NA
2014,Renville,Gross Misdemeanor,24,38,35,NA,NA,NA,NA,NA,NA,NA,NA
2014,Renville,Misdemeanor,54,67,57,NA,NA,NA,NA,NA,NA,NA,NA
2014,Renville,Juvenile,6,10,5,NA,NA,NA,NA,NA,NA,NA,NA
2014,Rice,Felony,135,131,531,NA,NA,NA,NA,NA,NA,NA,NA
2014,Rice,Gross Misdemeanor,101,130,239,NA,NA,NA,NA,NA,NA,NA,NA
2014,Rice,Misdemeanor,121,105,161,NA,NA,NA,NA,NA,NA,NA,NA
2014,Rice,Juvenile,38,47,49,NA,NA,NA,NA,NA,NA,NA,NA
2014,Rock,Felony,16,22,41,NA,NA,NA,NA,NA,NA,NA,NA
2014,Rock,Gross Misdemeanor,24,19,48,NA,NA,NA,NA,NA,NA,NA,NA
